file,symbology,barcode,status
IMG_0001.HEIC,EAN13,4006396102676,ok
IMG_0003.HEIC,EAN13,4006396067449,ok
IMG_0005.HEIC,EAN13,4006396050311,ok
IMG_0002.HEIC,,,not_found
IMG_0004.HEIC,,,not_found
IMG_0007.HEIC,EAN13,4006396102560,ok
IMG_0009.HEIC,EAN8,48745932,ok
IMG_0006.HEIC,,,not_found
IMG_0011.HEIC,EAN8,48745925,ok
IMG_0008.HEIC,,,not_found
IMG_0010.HEIC,,,not_found
IMG_0013.HEIC,EAN8,48747226,ok
IMG_0015.HEIC,EAN8,48747226,ok
IMG_0012.HEIC,,,not_found
IMG_0014.HEIC,,,not_found
IMG_0019.HEIC,EAN8,48747363,ok
IMG_0017.HEIC,,,not_found
IMG_0018.HEIC,,,not_found
IMG_0021.HEIC,EAN8,48744119,ok
IMG_0023.HEIC,EAN8,48744935,ok
IMG_0020.HEIC,,,not_found
IMG_0022.HEIC,,,not_found
IMG_0025.HEIC,EAN8,48747752,ok
IMG_0024.HEIC,,,not_found
IMG_0027.HEIC,EAN8,48747745,ok
IMG_0026.HEIC,,,not_found
IMG_0028.HEIC,,,not_found
IMG_0031.HEIC,EAN13,7622202051104,ok
IMG_0029.HEIC,,,not_found
IMG_0030.HEIC,,,not_found
IMG_0035.HEIC,EAN8,48741224,ok
IMG_0032.HEIC,,,not_found
IMG_0033.HEIC,,,not_found
IMG_0034.HEIC,,,not_found
IMG_0039.HEIC,EAN8,48742757,ok
IMG_0036.HEIC,,,not_found
IMG_0037.HEIC,,,not_found
IMG_0041.HEIC,EAN8,48743570,ok
IMG_0038.HEIC,,,not_found
IMG_0043.HEIC,EAN8,48743570,ok
IMG_0040.HEIC,,,not_found
IMG_0045.HEIC,EAN8,48743587,ok
IMG_0042.HEIC,,,not_found
IMG_0044.HEIC,,,not_found
IMG_0047.HEIC,EAN8,48743587,ok
IMG_0049.HEIC,EAN8,48748667,ok
IMG_0046.HEIC,,,not_found
IMG_0051.HEIC,EAN8,48744539,ok
IMG_0048.HEIC,,,not_found
IMG_0050.HEIC,,,not_found
IMG_0052.HEIC,,,not_found
IMG_0053.HEIC,EAN8,48744546,ok
IMG_0055.HEIC,EAN8,48741415,ok
IMG_0054.HEIC,,,not_found
IMG_0059.HEIC,EAN8,48747257,ok
IMG_0057.HEIC,,,not_found
IMG_0056.HEIC,,,not_found
IMG_0058.HEIC,,,not_found
IMG_0061.HEIC,EAN8,48747912,ok
IMG_0063.HEIC,EAN8,48747905,ok
IMG_0060.HEIC,,,not_found
IMG_0065.HEIC,EAN8,48743280,ok
IMG_0062.HEIC,,,not_found
IMG_0067.HEIC,EAN8,48743839,ok
IMG_0064.HEIC,,,not_found
IMG_0066.HEIC,,,not_found
IMG_0069.HEIC,EAN8,48743273,ok
IMG_0068.HEIC,,,not_found
IMG_0073.HEIC,EAN13,4870249810984,ok
IMG_0071.HEIC,,,not_found
IMG_0070.HEIC,,,not_found
IMG_0075.HEIC,EAN8,48743532,ok
IMG_0072.HEIC,,,not_found
IMG_0077.HEIC,EAN8,48747295,ok
IMG_0074.HEIC,,,not_found
IMG_0076.HEIC,,,not_found
IMG_0081.HEIC,EAN13,4870240019256,ok
IMG_0078.HEIC,,,not_found
IMG_0079.HEIC,,,not_found
IMG_0080.HEIC,,,not_found
IMG_0083.HEIC,EAN13,4870240019225,ok
IMG_0085.HEIC,EAN8,48744324,ok
