file,barcode,name,productDesc,category,brand,productImg
IMG_0001.HEIC,4006396102676,,,,,4006396102676.png
IMG_0003.HEIC,4006396067449,,,,,4006396067449.png
IMG_0005.HEIC,4006396050311,,,,,4006396050311.png
IMG_0007.HEIC,4006396102560,,,,,4006396102560.png
IMG_0009.HEIC,48745932,,,,,48745932.png
IMG_0011.HEIC,48745925,,,,,48745925.png
IMG_0013.HEIC,48747226,,,,,48747226.png
IMG_0015.HEIC,48747226,,,,,48747226.png
IMG_0019.HEIC,48747363,,,,,48747363.png
IMG_0021.HEIC,48744119,,,,,48744119.png
IMG_0023.HEIC,48744935,,,,,48744935.png
IMG_0025.HEIC,48747752,,,,,48747752.png
IMG_0027.HEIC,48747745,,,,,48747745.png
IMG_0031.HEIC,7622202051104,,,,,7622202051104.png
IMG_0035.HEIC,48741224,,,,,48741224.png
IMG_0039.HEIC,48742757,,,,,48742757.png
IMG_0041.HEIC,48743570,,,,,48743570.png
IMG_0043.HEIC,48743570,,,,,48743570.png
IMG_0045.HEIC,48743587,,,,,48743587.png
IMG_0047.HEIC,48743587,,,,,48743587.png
IMG_0049.HEIC,48748667,,,,,48748667.png
IMG_0051.HEIC,48744539,,,,,48744539.png
