file,symbology,barcode,status
IMG_0001.HEIC,EAN13,4006396102676,ok
IMG_0005.HEIC,EAN13,4006396050311,ok
IMG_0007.HEIC,EAN13,4006396102560,ok
IMG_0009.HEIC,EAN8,48745932,ok
IMG_0011.HEIC,EAN8,48745925,ok
IMG_0013.HEIC,EAN8,48747226,ok
IMG_0019.HEIC,EAN8,48747363,ok
IMG_0021.HEIC,EAN8,48744119,ok
IMG_0023.HEIC,EAN8,48744935,ok
IMG_0025.HEIC,EAN8,48747752,ok
IMG_0027.HEIC,EAN8,48747745,ok
IMG_0031.HEIC,EAN13,7622202051104,ok
IMG_0035.HEIC,EAN8,48741224,ok
IMG_0039.HEIC,EAN8,48742757,ok
IMG_0041.HEIC,EAN8,48743570,ok
IMG_0045.HEIC,EAN8,48743587,ok
IMG_0049.HEIC,EAN8,48748667,ok
IMG_0051.HEIC,EAN8,48744539,ok
IMG_0053.HEIC,EAN8,48744546,ok
IMG_0055.HEIC,EAN8,48741415,ok
IMG_0059.HEIC,EAN8,48747257,ok
IMG_0061.HEIC,EAN8,48747912,ok
IMG_0063.HEIC,EAN8,48747905,ok
IMG_0065.HEIC,EAN8,48743280,ok
IMG_0067.HEIC,EAN8,48743839,ok
IMG_0069.HEIC,EAN8,48743273,ok
IMG_0073.HEIC,EAN13,4870249810984,ok
IMG_0075.HEIC,EAN8,48743532,ok
IMG_0077.HEIC,EAN8,48747295,ok
IMG_0081.HEIC,EAN13,4870240019256,ok
IMG_0083.HEIC,EAN13,4870240019225,ok
IMG_0085.HEIC,EAN8,48744324,ok
IMG_0089.HEIC,EAN8,48741606,ok
IMG_0093.HEIC,EAN8,48741958,ok
IMG_0095.HEIC,EAN8,48742245,ok
IMG_0097.HEIC,EAN13,5449000093943,ok
IMG_0099.HEIC,EAN13,4870002328886,ok
IMG_0102.HEIC,EAN13,4870071000256,ok
IMG_0105.HEIC,EAN13,5011007015534,ok
IMG_0107.HEIC,EAN13,5011007003005,ok
IMG_0109.HEIC,EAN13,5011007003227,ok
IMG_0111.HEIC,DataMatrix,2B3B3134,ok
IMG_0113.HEIC,EAN13,5010106113127,ok
IMG_0115.HEIC,DataMatrix,2B3B6165,ok
IMG_0117.HEIC,EAN13,5010327903101,ok
IMG_0121.HEIC,EAN13,4067700014566,ok
IMG_0123.HEIC,EAN13,4067700014559,ok
IMG_0125.HEIC,EAN13,9300727453600,ok
IMG_0128.HEIC,EAN13,9300727406538,ok
IMG_0130.HEIC,EAN13,5099873089798,ok
IMG_0132.HEIC,DataMatrix,10040509,ok
IMG_0134.HEIC,EAN13,5099873089712,ok
IMG_0136.HEIC,EAN13,7312040017683,ok
IMG_0139.HEIC,EAN13,7312040017072,ok
IMG_0141.HEIC,EAN13,4620006990455,ok
IMG_0143.HEIC,EAN13,4620006990387,ok
IMG_0145.HEIC,EAN13,4600893900805,ok
IMG_0147.HEIC,EAN13,4607027550011,ok
IMG_0149.HEIC,EAN13,4600893903585,ok
IMG_0151.HEIC,EAN13,5010327946504,ok
IMG_7039(1).HEIC,EAN13,4870028000773,ok
IMG_7042(1).HEIC,EAN13,4870203571586,ok
IMG_7043(1).HEIC,EAN13,4870203571555,ok
IMG_7045(1).HEIC,EAN13,4870203571609,ok
IMG_7052(1).HEIC,EAN13,4620017455004,ok
IMG_7054(1).HEIC,EAN13,4870066008885,ok
IMG_7058(1).HEIC,DataBar,01415087217583,ok
IMG_7060(1).HEIC,EAN13,5201360543205,ok
IMG_7061(1).HEIC,EAN13,5201360543472,ok
IMG_7063(1).HEIC,EAN13,5201360571208,ok
IMG_7066(1).HEIC,EAN13,5201360571703,ok
IMG_7068(1).HEIC,EAN13,5201360521210,ok
IMG_7070(1).HEIC,EAN13,5201360523795,ok
IMG_7072(1).HEIC,EAN13,4870207570820,ok
IMG_7074(1).HEIC,EAN13,4870207570844,ok
IMG_7076(1).HEIC,EAN13,4860111650817,ok
IMG_7078(1).HEIC,EAN13,4860111650640,ok
IMG_7080(1).HEIC,EAN13,4605825006327,ok
IMG_7082(1).HEIC,EAN13,4605825006402,ok
IMG_7084(1).HEIC,EAN13,4870227272971,ok
IMG_7086(1).HEIC,EAN13,4870227272957,ok
IMG_7087(1).HEIC,EAN13,4870207570585,ok
IMG_7090(1).HEIC,EAN13,4870207570875,ok
IMG_7092(1).HEIC,EAN13,9458475707671,ok
IMG_7093(1).HEIC,EAN13,4870144476162,ok
IMG_7094(1).HEIC,EAN13,8061671447671,ok
IMG_7095(1).HEIC,EAN13,4870144474045,ok
IMG_7098(1).HEIC,EAN13,4870144474052,ok
IMG_7100(1).HEIC,EAN13,4870144473703,ok
IMG_7102(1).HEIC,EAN13,4870144475813,ok
IMG_7104(1).HEIC,EAN13,4870144476872,ok
IMG_7105(1).HEIC,EAN13,4870144474748,ok
IMG_7108(1).HEIC,EAN13,4870144476544,ok
IMG_7110(1).HEIC,EAN13,4870002329234,ok
IMG_7112(1).HEIC,EAN13,4870144475967,ok
IMG_7114(1).HEIC,EAN13,4870144476490,ok
IMG_7116(1).HEIC,EAN13,4870144475943,ok
IMG_7118(1).HEIC,EAN13,4870144476308,ok
IMG_7120(1).HEIC,EAN13,4870144475790,ok
IMG_7123(1).HEIC,EAN13,4605825003807,ok
IMG_7127(1).HEIC,EAN13,4870235040241,ok
IMG_7129(1).HEIC,EAN13,4605825003753,ok
IMG_7131(1).HEIC,EAN13,4870004933859,ok
IMG_7133(1).HEIC,EAN13,4870004933873,ok
IMG_7135(1).HEIC,EAN13,4604248019051,ok
IMG_7137(1).HEIC,EAN13,4870001901806,ok
IMG_7139(1).HEIC,EAN13,4607002995943,ok
IMG_7141(1).HEIC,EAN13,4607002999323,ok
IMG_7143(1).HEIC,DataBar,12014620464383,ok
IMG_7145(1).HEIC,EAN13,4630038371023,ok
IMG_7147(1).HEIC,EAN13,4607002995905,ok
IMG_7149(1).HEIC,EAN13,4607002990290,ok
IMG_7151(1).HEIC,EAN13,4607002999910,ok
IMG_7153(1).HEIC,EAN13,4607002999767,ok
IMG_7157(1).HEIC,EAN13,4870241780995,ok
IMG_7159(1).HEIC,EAN13,4607002999309,ok
IMG_7161(1).HEIC,EAN13,4870001905477,ok
IMG_7163(1).HEIC,EAN13,4870001901783,ok
IMG_7165(1).HEIC,EAN13,4870200193545,ok
IMG_7167(1).HEIC,EAN13,4870001900014,ok
IMG_7169(1).HEIC,EAN13,4870001906238,ok
IMG_7171(1).HEIC,EAN13,4670025500357,ok
IMG_7173(1).HEIC,EAN13,4870001901769,ok
IMG_7175(1).HEIC,EAN13,4870001902384,ok
IMG_7177(1).HEIC,EAN13,4870001901882,ok
IMG_7179(1).HEIC,EAN13,4870001901806,ok
IMG_7181(1).HEIC,EAN13,4870001902384,ok
IMG_7183(1).HEIC,EAN13,4870004930674,ok
IMG_7185(1).HEIC,EAN13,4870004933828,ok
IMG_7187(1).HEIC,EAN13,4870004930841,ok
IMG_7189(1).HEIC,EAN13,4870004931121,ok
IMG_7191(1).HEIC,EAN13,4870004930605,ok
IMG_7193(1).HEIC,EAN13,4870004930117,ok
IMG_7195(1).HEIC,EAN13,4870004930841,ok
IMG_7197(1).HEIC,EAN13,4870004930032,ok
IMG_7199(1).HEIC,EAN13,4870004931145,ok
IMG_7203(1).HEIC,EAN13,4870004936324,ok
IMG_7205(1).HEIC,EAN13,4870004931107,ok
IMG_7207(1).HEIC,EAN13,4870004933880,ok
IMG_7209(1).HEIC,EAN13,4870004933903,ok
IMG_7211(1).HEIC,EAN13,4870004930513,ok
IMG_7213(1).HEIC,EAN13,4870004930018,ok
IMG_7214(1).HEIC,EAN13,4870004936331,ok
IMG_7217(1).HEIC,EAN13,4870004931053,ok
IMG_7219(1).HEIC,EAN13,4870004932296,ok
IMG_7222(1).HEIC,EAN13,4007415005404,ok
IMG_7224(1).HEIC,EAN13,4870001548032,ok
IMG_7230(1).HEIC,EAN13,4008638213805,ok
IMG_7234(1).HEIC,EAN13,4870001545376,ok
IMG_7236(1).HEIC,EAN13,4007415005664,ok
IMG_7238(1).HEIC,EAN13,4607116769867,ok
IMG_7240(1).HEIC,EAN13,4607116769478,ok
IMG_7242(1).HEIC,EAN13,4607116769485,ok
IMG_7246(1).HEIC,EAN13,4607116769461,ok
IMG_7248(1).HEIC,EAN13,4660136781677,ok
IMG_7250(1).HEIC,EAN13,4660136780656,ok
