Номенклатура,Штрихкоды,Ед.,Основной тип цен
Молочная продукция,,,
Коктейль Чуда банан 200 мл,4610082840836,шт,450
Коктейль Чуда клубника 200 мл,46009490100205 4600949010205 4607014822640,шт,480
Коктейль Чуда ваниль 200 мл,4607014822657,шт,480
Коктейль Чуда ваниль 950 гр,4607014826730,шт,"1,215"
Коктейль Чуда шоколадный 950 гр,4607012937421 4607014824453,шт,"1,300"
Коктейль Чуда банан 950 гр,4610082840829,шт,"1,300"
Коктейль Чуда ягодно мороженое 950 гр,4607014822398 4607014827560,шт,"1,300"
Коктейль Чуда клубника 950 гр,4607014826600,шт,"1,300"
"Домик в деревне молоко 2,5 % 950 гр",4607014826556,шт,925
"Домик в деревне молоко 3,2 % 950 гр",4607014826563,шт,"1,015"a
Домик в деревне молоко 6  % 950 гр,4607014826570,шт,"1,090"
Домик в деревне сливки 10 % 200 гр,4607025396833,шт,555
Домик в деревне сливки 20 % 200 гр,4607025396840,шт,715
Домик в деревне сливки 20 % 480 гр,4607096004477,шт,"1,160"
Домик в деревне сливки 10 % 480 гр,4607025396956,шт,930
"Молоко Мое 6% 0,95 литр",4870002324567,шт,"1,035"
ВБД Чуда ЙогФр ВишЧереш 2 % 290 г,4690228107313,шт,625
ВБД Чуда ЙогФр КлубЗемл 2 % 290 г,4690228107290,шт,625
"Сырок Глазир Чудо 25,6% Ваниль.",4607041420284,шт,420
"Сырок Глазир Чудо 25,6% Шоколад.",4607041420307,шт,420
"Сырок Глазир Чудо 28,7% Кокос.",4607041420291,шт,420
"Творожные десерт Чудо 4,2 %  0,1 персик - маракурйя.",4690228008009,шт,430
"Творожные десерт Чудо 4,0 %  100 г Вишня - Черешня",4690228006975,шт,430
"Творожные десерт Чудо 4,2 %  100 г Персик Груша.",4690228006913,шт,460
"Творожные десерт Чудо 4,2 %  100 г Черника.",4690228006920,шт,430
Чуда ДесТворВзб КлубЗемл.4 % 100 г,4690228006968,шт,460
"Чудо ЙогФр ВишЧереш 1,9 % 260 г",4690228106804,шт,575
"Чудо ЙогрФр КлубЗемл. 1,9 % 260 г",4690228106835,шт,575
"Чудо ЙогФр ЯгоднМорож 1,9 % 260 г",4690228107030,шт,575
"Чудо ПродЙог КлубЗемл 2,5 % 115 г",4690228008733,шт,285
"Чудо ПродЙог ПерсМанг 2,5 % 115 г",4690228008757,шт,285
"Чудо ПродЙог ПерсМарак 2,5 % 115 г",4690228108808,шт,285
"Масло Домик в деревне 72,5 % 0,18 кг",4607096006433,шт,"1,195"
"Масло Домик в деревне 82,5 % 0,18 кг",4607096006464,шт,"1,290"
Ламбер Сыр  50 % 230 г,4690228015441,шт,"1,795"
Ламбер Сыр  55 % 230 г,4690228109089,шт,"1,880"
"Молоко низколактозное Лактель ФМ 'Легкое утро' 3,25%  1 л",4870207314301,шт,910
Молоко с витамином D Лактель 2.5%  1 л,4870055002689,шт,700
Молоко с витамином D Лактель 3.2%  1 л,4870055002696,шт,760
Молоко низколактозное Лактель ФМ 'Легкое утро' 2.5 %  1 л,4870207314295,шт,850
"Кефир ФМ 2,5 % 1 кг",4870055000852,шт,570
"Кефир ФМ 2,5 %  0,5 кг",4870055000166,шт,355
"Кефир ФМ 2,3 %  1,0 кгФП",4870207315186 4870207315469,шт,525
"Кефир ФМ 2,5%  0,9 кг",4870207311478,шт,610
"Кефир ФМ 1%  0,9 кг",4870207311485,шт,610
"БИО С Ваниль 3,2% 0,5 кг",48700055000197 48700055000192 4870055000197,шт,460
"БИО С Ваниль 3,2% 1 кг",4870055004287 4870055004282,шт,745
"БИО С Клубника 2,9% 0.9 кг",4870207314592,шт,755
"БИО С Клубника 2,9% 0,45 кг",4870207314264,шт,470
"БИО С Ваниль 3,2% 0,9 кг",4870207311850,шт,755
"Снежок 2%  0,45 кг",4870207312383 4870207312381,шт,390
"Снежок 2%  0,90кг",4870207313229 4870207313221,шт,660
"Снежок 2%  0,90кг ФП",4870207312888,шт,555
"Живой Натуральный 2%  0,280",4870207315292,шт,380
"Питьевой йогурт Клубника 2%  0,45кг",4870207312130,шт,460
"Питьевой йогурт Клубника 2%  0,90кг",4870207313281,шт,700
"Питьевой йогурт Лесные ягоды 2%  0,45кг",4870207314202,шт,460
"Питьевой йогурт Лесные ягоды 2%  0,90кг",4870207314196,шт,700
"Питьевой йогурт Натуральный  2%  0,45кг",4870207315308,шт,435
"Сметана Президент 20% 0,40 кг",4870055002542 4870055002542,шт,800
"Сметана Президент 20% 0,20 кг",4870055001798 4870055001792,шт,500
"Сметана Президент 15% 0,40 кг",4870055001231 4870055001232,шт,735
"Сметана Президент 15% 0,20 кг",4870055001248 4870055001242,шт,450
"Сметана Президент 10% 0,40 кг",4870207311454,шт,700
"Сметана Президент 10% 0,20 кг",4870006540208,шт,430
"Сметана Домашняя Президент 25% 0,385 кг",4870207310563,шт,900
"Творог Домашний Рассыпчатый Президент 0,1% 0,20 кг",4870207313960,шт,570
"Творог Домашний Рассыпчатый Президент 5% 0,20 кг",4870207313977,шт,640
"Творог Домашний Рассыпчатый Президент 5% 0,45 кг",4870207314004,шт,"1,100"
"Творог Домашний Рассыпчатый Президент 9% 0,45 кг",4870207314011,шт,"1,170"
"Йогурт греческий Ваниль  7,0% 0,130 кг",4870207313724,шт,360
"Йогурт греческий  Клубника   7,2% 0,130 кг",4870207313335,шт,360
"Йогурт греческий  Миндаль-Фисташки  7,9% 0,130 кг",4870207313342,шт,360
"Йогурт греческий  Натуральный   8,4% 0,130 кг",4870207313328,шт,360
"Йогурт греческий  Натуральный   8,4% 0,300кг",4870207314394,шт,650
