name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
Молочная продукция,,,,,,,
Коктейль Чуда банан 200 мл,4610082840836,pcs,450,,,,
Коктейль Чуда клубника 200 мл,46009490100205 4600949010205 4607014822640,pcs,480,,,,
Коктейль Чуда ваниль 200 мл,4607014822657,pcs,480,,,,
Коктейль Чуда ваниль 950 гр,4607014826730,pcs,"1,215",,,,
Коктейль Чуда шоколадный 950 гр,4607012937421 4607014824453,pcs,"1,300",,,,
Коктейль Чуда банан 950 гр,4610082840829,pcs,"1,300",,,,
Коктейль Чуда ягодно мороженое 950 гр,4607014822398 4607014827560,pcs,"1,300",,,,
Коктейль Чуда клубника 950 гр,4607014826600,pcs,"1,300",,,,
"Домик в деревне молоко 2,5 % 950 гр",4607014826556,pcs,925,,,,
"Домик в деревне молоко 3,2 % 950 гр",4607014826563,pcs,"1,015a",,,,
Домик в деревне молоко 6  % 950 гр,4607014826570,pcs,"1,090",,,,
Домик в деревне сливки 10 % 200 гр,4607025396833,pcs,555,,,,
Домик в деревне сливки 20 % 200 гр,4607025396840,pcs,715,,,,
Домик в деревне сливки 20 % 480 гр,4607096004477,pcs,"1,160",,,,
Домик в деревне сливки 10 % 480 гр,4607025396956,pcs,930,,,,
"Молоко Мое 6% 0,95 литр",4870002324567,pcs,"1,035",,,,
ВБД Чуда ЙогФр ВишЧереш 2 % 290 г,4690228107313,pcs,625,,,,
ВБД Чуда ЙогФр КлубЗемл 2 % 290 г,4690228107290,pcs,625,,,,
"Сырок Глазир Чудо 25,6% Ваниль.",4607041420284,pcs,420,,,,
"Сырок Глазир Чудо 25,6% Шоколад.",4607041420307,pcs,420,,,,
"Сырок Глазир Чудо 28,7% Кокос.",4607041420291,pcs,420,,,,
"Творожные десерт Чудо 4,2 %  0,1 персик - маракурйя.",4690228008009,pcs,430,,,,
"Творожные десерт Чудо 4,0 %  100 г Вишня - Черешня",4690228006975,pcs,430,,,,
"Творожные десерт Чудо 4,2 %  100 г Персик Груша.",4690228006913,pcs,460,,,,
