shard_id,barcode,old_name,new_name,brand,productDesc,confidence,changes
0,4610082840836,Коктейль Чуда банан 200 мл,Коктейль Чудо банан 200 мл,,Коктейль с банановым вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
0,4610082840829,Коктейль Чуда банан 950 г,Коктейль Чудо банан 950 г,,Коктейль с банановым вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
0,4607014826570,Домик в деревне молоко 6% 950 г,Домик в деревне молоко 6% 950 г,,Молоко с 6% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
0,4870002324567,"Молоко Мое 6% 0,95 л","Молоко Мое 6% 0,95 л",,Молоко с 6% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
0,4607041420291,"Сырок Глазир Чудо 28,7% Кокос.","Сырок Глазир Чудо 28,7% Кокос",Чудо,"Сырок с кокосовым вкусом и 28,7% жирности.",high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}"
0,4690228006968,Чуда ДесТворВзб КлубЗемл.4% 100 г,Чудо Десерт Взбитый Клубника Земляника 4% 100 г,,Взбитый десерт с клубничным и земляничным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
0,4690228008757,"Чудо ПродЙог ПерсМанг 2,5% 115 г","Чудо Йогурт Персик Манго 2,5% 115 г",Чудо,Йогурт с персиковым и манговым вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
0,4690228109089,Ламбер Сыр 55% 230 г,Ламбер Сыр 55% 230 г,Ламбер,Сыр с 55% жирности.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
0,4870055000852,"Кефир ФМ 2,5% 1 кг","Кефир ФМ 2,5% 1 кг",,"Кефир с 2,5% жирности.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
0,48700055000197 48700055000192 4870055000197,"БИО С Ваниль 3,2% 0,5 кг","БИО С Ваниль 3,2% 0,5 кг",,"Био-продукт с ванильным вкусом и 3,2% жирности.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
