name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
Коктейль Чудо банан 200 мл,4610082840836,pcs,450.00,Коктейль с банановым вкусом.,BAR_DAIRY,,
Коктейль Чудо клубника 200 мл,46009490100205 4600949010205 4607014822640,pcs,480.00,Коктейль с клубникой в упаковке 200 мл.,BAR_DAIRY,,
Коктейль Чудо ваниль 200 мл,4607014822657,pcs,480.00,Коктейль с ванильным вкусом.,BAR_DAIRY,,
Коктейль Чудо ваниль 950 г,4607014826730,pcs,1215.00,Коктейль с ванильным вкусом.,BAR_DAIRY,,
Коктейль Чудо шоколадный 950 г,4607012937421 4607014824453,pcs,1300.00,Шоколадный коктейль с высоким содержанием вкуса.,BAR_DAIRY,,
Коктейль Чудо банан 950 г,4610082840829,pcs,1300.00,Коктейль с банановым вкусом.,BAR_DAIRY,,
Коктейль Чудо ягодное мороженое 950 г,4607014822398 4607014827560,pcs,1300.00,"Коктейль с ягодным мороженым, 950 г.",BAR_DAIRY,,
Коктейль Чудо клубника 950 г,4607014826600,pcs,1300.00,Коктейль со вкусом клубники.,BAR_DAIRY,,
"Домик в деревне молоко 2,5% 950 г",4607014826556,pcs,925.00,"Молоко с жирностью 2,5%.",BAR_DAIRY,Домик в деревне,
"Домик в деревне молоко 3,2% 950 г",4607014826563,pcs,1015.00,Молоко с низким содержанием жира.,BAR_DAIRY,,
Домик в деревне молоко 6% 950 г,4607014826570,pcs,1090.00,Молоко с 6% жирности.,BAR_DAIRY,,
Домик в деревне сливки 10% 200 г,4607025396833,pcs,555.00,Сливки 10% в упаковке 200 г.,BAR_DAIRY,,
Домик в деревне сливки 20% 200 г,4607025396840,pcs,715.00,Сливки с содержанием жира 20%.,BAR_DAIRY,,
Домик в деревне сливки 20% 480 г,4607096004477,pcs,1160.00,Сливки с жирностью 20%.,BAR_DAIRY,Домик в деревне,
Домик в деревне сливки 10% 480 г,4607025396956,pcs,930.00,Сливки с высоким содержанием жира.,BAR_DAIRY,,
