global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
1,Коктейль Чудо клубника 200 мл,46009490100205 4600949010205 4607014822640,pcs,480.00,Коктейль с клубничным вкусом.,BAR_DAIRY,,
4,Коктейль Чудо шоколадный 950 г,4607012937421 4607014824453,pcs,1300.00,Коктейль с шоколадным вкусом.,BAR_DAIRY,,
7,Коктейль Чудо клубника 950 г,4607014826600,pcs,1300.00,Коктейль с клубничным вкусом.,BAR_DAIRY,,
10,Домик в деревне молоко 6% 950 г,4607014826570,pcs,1090.00,Молоко с жирностью 6%.,BAR_DAIRY,,
13,Домик в деревне сливки 20% 480 г,4607096004477,pcs,1160.00,Сливки с жирностью 20%.,BAR_DAIRY,,
16,ВБД Чудо ЙогФр Вишня-Черешня 2% 290 г,4690228107313,pcs,625.00,Йогурт с вишней и черешней.,BAR_DAIRY,,
19,"Сырок Глазир Чудо 25,6% Шоколад",4607041420307,pcs,420.00,Сырок глазированный с шоколадом.,BAR_DAIRY,Чудо,
22,"Творожный десерт Чудо 4,0% 100 г Вишня-Черешня",4690228006975,pcs,430.00,Творожный десерт с вишней и черешней.,BAR_DAIRY,Чудо,
25,Чудо Десерт Творожный Взбитый Клубника-Земляника 4% 100 г,4690228006968,pcs,460.00,Взбитый творожный десерт с клубникой и земляникой.,BAR_DAIRY,,
28,"Чудо Йогурт Фруктовый Ягодное Мороженое 1,9% 260 г",4690228107030,pcs,575.00,Фруктовый йогурт с ягодным вкусом.,BAR_DAIRY,Чудо,
31,"Чудо Продвинутый Йогурт Персик-Маракуйя 2,5% 115 г",4690228108808,pcs,285.00,Продвинутый йогурт с персиком и маракуйей.,BAR_DAIRY,Чудо,
34,Ламбер Сыр 50% 230 г,4690228015441,pcs,1795.00,Сыр с жирностью 50%.,BAR_DAIRY,,
37,"Молоко с витамином D Лактель 2,5% 1 л",4870055002689,pcs,700.00,Молоко с добавлением витамина D.,BAR_DAIRY,Лактель,
40,"Кефир ФМ 2,5% 1 кг",4870055000852,pcs,570.00,"Кефир с жирностью 2,5%.",BAR_DAIRY,,
43,"Кефир ФМ 2,5% 0,9 кг",4870207311478,pcs,610.00,"Кефир с жирностью 2,5%.",BAR_DAIRY,,
46,"Био с ванилью 3,2% 1 кг",4870055004287 4870055004282,pcs,745.00,Натуральный йогурт с ванилью.,BAR_DAIRY,Био,
49,"Био с ванилью 3,2% 0,9 кг",4870207311850,pcs,755.00,Натуральный йогурт с ванилью.,BAR_DAIRY,Био,
52,"Снежок 2% 0,90 кг ФП",4870207312888,pcs,555.00,Нежный йогурт с низким содержанием жира.,BAR_DAIRY,Снежок,
55,"Питьевой йогурт Клубника 2% 0,90 кг",4870207313281,pcs,700.00,Клубничный йогурт с низким содержанием жира.,BAR_DAIRY,Питьевой йогурт,
58,"Питьевой йогурт Натуральный 2% 0,45 кг",4870207315308,pcs,435.00,Натуральный йогурт с низким содержанием жира.,BAR_DAIRY,Питьевой йогурт,
61,"Сметана Президент 15% 0,40 кг",4870055001231 4870055001232,pcs,735.00,Сметана с высоким содержанием жира.,BAR_DAIRY,Президент,
64,"Сметана Президент 10% 0,20 кг",4870006540208,pcs,430.00,Сметана с низким содержанием жира.,BAR_DAIRY,Президент,
67,"Творог Домашний Рассыпчатый Президент 5% 0,20 кг",4870207313977,pcs,640.00,Рассыпчатый творог с низким содержанием жира.,BAR_DAIRY,Президент,
70,"Йогурт греческий Ваниль 7,0% 0,130 кг",4870207313724,pcs,360.00,Греческий йогурт с ванилью.,BAR_DAIRY,Йогурт греческий,
73,"Йогурт греческий Натуральный 8,4% 0,130 кг",4870207313328,pcs,360.00,Натуральный греческий йогурт.,BAR_DAIRY,Йогурт греческий,
76,"Йогурт Персик 1,5% 0,110гр",4870207313533,pcs,240.00,Йогурт с персиковым вкусом.,BAR_DAIRY,Йогурт,
79,Сыр Мастер Российский 50%,2500203980010,kg,6765.00,Российский сыр с высоким содержанием жира.,BAR_DAIRY,Мастер,
