barcode,old_name,new_name,brand,productDesc,confidence,changes
4607014822657,Коктейль Чуда ваниль 200 мл,Коктейль Чудо ваниль 200 мл,,Коктейль с ванильным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607014826600,Коктейль Чуда клубника 950 г,Коктейль Чудо клубника 950 г,,Коктейль со вкусом клубники.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607025396840,Домик в деревне сливки 20% 200 г,Домик в деревне сливки 20% 200 г,,Сливки с содержанием жира 20%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4690228107290,ВБД Чуда ЙогФр КлубЗемл 2% 290 г,Йогурт Чудо Клубника-Земляника 2% 290 г,,Йогурт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228006975,"Творожные десерт Чудо 4,0% 100 г Вишня - Черешня","Творожные десерт Чудо 4,0% 100 г Вишня - Черешня",Чудо,Творожный десерт с вишней и черешней.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228106835,"Чудо ЙогрФр КлубЗемл. 1,9% 260 г","Йогурт Чудо Клубника-Земляника 1,9% 260 г",Чудо,Йогурт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607096006433,"Масло Домик в деревне 72,5% 0,18 кг","Масло Домик в деревне 72,5% 0,18 кг",,"Масло с содержанием жира 72,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870055002689,"Молоко с витамином D Лактель 2,5% 1 л","Молоко Лактель 2,5% 1 л",Лактель,Молоко с витамином D.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4870207315186 4870207315469,"Кефир ФМ 2,3% 1,0 кгФП","Кефир ФМ 2,3% 1,0 кг",,"Кефир с содержанием жира 2,3%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207314592,"БИО С Клубника 2,9% 0.9 кг","БИО С Клубника 2,9% 0.9 кг",,БИО йогурт с клубникой.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
