barcode,old_name,new_name,brand,productDesc,confidence,changes,error
4607014822657,Коктейль Чуда ваниль 200 мл,Коктейль Чудо ваниль 200 мл,,Вкусный коктейль с ванильным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4610082840829,Коктейль Чуда банан 950 г,Коктейль Чудо банан 950 г,,Коктейль с банановым вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014826556,"Домик в деревне молоко 2,5% 950 г","Домик в деревне молоко 2,5% 950 г",Домик в деревне,"Молоко с жирностью 2,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607025396833,Домик в деревне сливки 10% 200 г,Домик в деревне сливки 10% 200 г,Домик в деревне,Сливки с жирностью 10%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607025396956,Домик в деревне сливки 10% 480 г,Домик в деревне сливки 10% 480 г,Домик в деревне,Сливки с жирностью 10%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4690228107290,ВБД Чуда ЙогФр КлубЗемл 2% 290 г,ВБД Чудо ЙогФр Клубника Земляника 2% 290 г,,Йогурт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607041420291,"Сырок Глазир Чудо 28,7% Кокос.","Сырок Глазир Чудо 28,7% Кокос",Чудо,Сырок с кокосовым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228006913,"Творожные десерт Чудо 4,2% 100 г Персик Груша.","Творожный десерт Чудо 4,2% 100 г Персик Груша",Чудо,Творожный десерт с персиком и грушей.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228106804,"Чудо ЙогФр ВишЧереш 1,9% 260 г","Чудо ЙогФр Вишня Черешня 1,9% 260 г",Чудо,Йогурт с вишней и черешней.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4690228008733,"Чудо ПродЙог КлубЗемл 2,5% 115 г","Чудо ПродЙог Клубника Земляника 2,5% 115 г",Чудо,Продуктовый йогурт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607096006433,"Масло Домик в деревне 72,5% 0,18 кг","Масло Домик в деревне 72,5% 0,18 кг",Домик в деревне,"Масло с жирностью 72,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4690228109089,Ламбер Сыр 55% 230 г,Ламбер Сыр 55% 230 г,Ламбер,Сыр с жирностью 55%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870055002696,"Молоко с витамином D Лактель 3,2% 1 л","Молоко с витамином D Лактель 3,2% 1 л",Лактель,Молоко с добавлением витамина D.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870055000166,"Кефир ФМ 2,5% 0,5 кг","Кефир ФМ 2,5% 0,5 кг",,"Кефир с жирностью 2,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207311485,"Кефир ФМ 1% 0,9 кг","Кефир ФМ 1% 0,9 кг",,Кефир с жирностью 1%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207314592,"БИО С Клубника 2,9% 0.9 кг","БИО С Клубника 2,9% 0.9 кг",Био,Натуральный йогурт с клубникой.,high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870207312383 4870207312381,"Снежок 2% 0,45 кг","Снежок 2% 0,45 кг",Снежок,Нежный йогурт с низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207315292,"Живой Натуральный 2% 0,280","Живой натуральный 2% 0,28 кг",Живой,Натуральный йогурт с низким содержанием жира.,high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207314202,"Питьевой йогурт Лесные ягоды 2% 0,45 кг","Питьевой йогурт лесные ягоды 2% 0,45 кг",Питьевой,"Йогурт с ягодами, богатый витаминами.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}",
4870055002542 4870055002542,"Сметана Президент 20% 0,40 кг","Сметана Президент 20% 0,40 кг",Президент,Сметана с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870055001248 4870055001242,"Сметана Президент 15% 0,20 кг","Сметана Президент 15% 0,20 кг",Президент,Сметана с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207310563,"Сметана Домашняя Президент 25% 0,385 кг","Сметана домашняя Президент 25% 0,385 кг",Президент,Домашняя сметана с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207314004,"Творог Домашний Рассыпчатый Президент 5% 0,45 кг","Творог домашний рассыпчатый Президент 5% 0,45 кг",Президент,Рассыпчатый творог с низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207313335,"Йогурт греческий Клубника 7,2% 0,130 кг","Йогурт греческий Клубника 7,2% 0,130 кг",Йогурт греческий,Греческий йогурт с клубникой.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207314394,"Йогурт греческий Натуральный 8,4% 0,300 кг","Йогурт греческий Натуральный 8,4% 0,300 кг",Йогурт греческий,Натуральный греческий йогурт.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870207313540,"Йогурт Вишня 1,5% 0,110гр","Йогурт Вишня 1,5% 0,110гр",Йогурт,Йогурт с вишней и низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607037120013,Сыр плав. Президент 140 г 45% Сливочный круг.,Сыр плавленый Президент 140 г 45% сливочный,Президент,Плавленый сыр с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607037123922,Сыр плавленый Президент с запеченной колбасками 45% 400 г.,Сыр плавленый Президент с запеченными колбасками 45% 400 г,Президент,Плавленый сыр с колбасками.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607037122598,Сыр плав. Президент 140 г 45% Чеддер круг.,Сыр плавленый Президент 140 г 45% чеддер,Президент,Плавленый сыр Чеддер с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870055002481,"Творожок Сузбеше ФМ Клубника 4% 0,1 кг.","Творожок Суздальский клубника 4% 0,1 кг",,Творожок с клубникой и низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4870035005778,"Молоко цельное сгущенное с сахаром,жирность 8,5% 380 г.","Молоко сгущенное с сахаром 8,5% 380 г",,"Сгущенное молоко с сахаром, жирность 8,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870055006144,"Ряженка ФМ 2,5% 1,0 кг.","Ряженка 2,5% 1,0 кг",,"Ряженка с жирностью 2,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870207314561,"Му-у молочный коктейль ФМ Клубника 2% 0,200 мл","Му-у молочный коктейль ФМ Клубника 2% 0,200 мл",,"Молочный коктейль со вкусом клубники, жирность 2%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4870055000890,"Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл","Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл",,"Молочный коктейль со вкусом шоколада, жирность 2%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}",
4601662006476,"Сливки Президент 11% 0,50 г","Сливки Президент 11% 0,50 г",Президент,Сливки с жирностью 11%.,high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": true}",
