global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
2,Коктейль Чудо ваниль 200 мл,4607014822657,pcs,480.00,Коктейль с ванильным вкусом.,BAR_DAIRY,,
7,Коктейль Чудо клубника 950 г,4607014826600,pcs,1300.00,Коктейль со вкусом клубники.,BAR_DAIRY,,
12,Домик в деревне сливки 20% 200 г,4607025396840,pcs,715.00,Сливки с содержанием жира 20%.,BAR_DAIRY,,
17,Йогурт Чудо Клубника-Земляника 2% 290 г,4690228107290,pcs,625.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,,
22,"Творожные десерт Чудо 4,0% 100 г Вишня - Черешня",4690228006975,pcs,430.00,Творожный десерт с вишней и черешней.,BAR_DAIRY,Чудо,
27,"Йогурт Чудо Клубника-Земляника 1,9% 260 г",4690228106835,pcs,575.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,Чудо,
32,"Масло Домик в деревне 72,5% 0,18 кг",4607096006433,pcs,1195.00,"Масло с содержанием жира 72,5%.",BAR_DAIRY,,
37,"Молоко Лактель 2,5% 1 л",4870055002689,pcs,700.00,Молоко с витамином D.,BAR_DAIRY,Лактель,
42,"Кефир ФМ 2,3% 1,0 кг",4870207315186 4870207315469,pcs,525.00,"Кефир с содержанием жира 2,3%.",BAR_DAIRY,,
47,"БИО С Клубника 2,9% 0.9 кг",4870207314592,pcs,755.00,БИО йогурт с клубникой.,BAR_DAIRY,,
52,"Снежок 2% 0,90 кг",4870207312888,pcs,555.00,Снежок с содержанием жира 2%.,BAR_DAIRY,,
57,"Питьевой йогурт Лесные ягоды 2% 0,90 кг",4870207314196,pcs,700.00,Питьевой йогурт с лесными ягодами.,BAR_DAIRY,,
62,"Сметана Президент 15% 0,20 кг",4870055001248 4870055001242,pcs,450.00,Сметана с содержанием жира 15%.,BAR_DAIRY,Президент,
67,"Творог Домашний Президент 5% 0,20 кг",4870207313977,pcs,640.00,Творог домашний с содержанием жира 5%.,BAR_DAIRY,Президент,
72,"Йогурт греческий Миндаль-Фисташки 7,9% 0,130 кг",4870207313342,pcs,360.00,Греческий йогурт с миндалем и фисташками.,BAR_DAIRY,,
77,"Йогурт Вишня 1,5% 0,110гр",4870207313540,pcs,240.00,Нежный йогурт с вишневым вкусом.,BAR_DAIRY,,
